,ZCTA,TotalPopulation,85andOver,45to54,55to64,65to74,75to84
219,ZCTA5 01237,2735.0,0.3,11.5,17.4,8.0,1.8
220,ZCTA5 01238,6245.0,2.3,14.600000000000001,16.4,13.399999999999999,6.199999999999999
221,ZCTA5 01240,4823.0,7.9,6.800000000000001,18.9,13.6,8.2
222,ZCTA5 01242,192.0,0.0,25.7,24.799999999999997,24.8,11.0
223,ZCTA5 01243,383.0,0.0,10.4,24.0,21.3,13.0
224,ZCTA5 01244,149.0,0.0,0.0,55.1,0.0,15.899999999999999
225,ZCTA5 01245,807.0,3.2,11.5,24.1,17.4,6.4
226,ZCTA5 01247,15859.0,1.9,14.5,12.9,8.5,6.4
227,ZCTA5 01253,683.0,0.6,21.6,11.100000000000001,22.5,7.5
228,ZCTA5 01254,1043.0,2.8,15.600000000000001,20.2,21.6,9.1
229,ZCTA5 01255,896.0,6.2,13.4,16.8,8.1,11.0
230,ZCTA5 01256,703.0,1.1,19.6,20.299999999999997,6.0,4.6
231,ZCTA5 01257,2140.0,2.9,17.0,20.2,17.2,4.2
232,ZCTA5 01258,334.0,5.5,18.9,33.0,13.399999999999999,12.8
233,ZCTA5 01259,540.0,0.0,24.299999999999997,18.3,21.8,4.1
234,ZCTA5 01260,246.0,0.0,30.1,27.3,0.0,0.0
235,ZCTA5 01262,1337.0,0.0,27.0,13.9,14.2,11.399999999999999
236,ZCTA5 01264,156.0,1.6,15.6,9.4,32.8,14.0
237,ZCTA5 01266,1491.0,2.4,16.0,23.0,15.2,5.800000000000001
238,ZCTA5 01267,7906.0,4.5,9.100000000000001,13.3,9.4,5.5
239,ZCTA5 01270,766.0,2.5,22.4,22.4,8.6,3.3
240,ZCTA5 01301,17731.0,1.9,12.5,16.7,9.1,4.3
241,ZCTA5 01330,1596.0,0.9,20.7,21.5,5.9,1.0
242,ZCTA5 01331,13264.0,1.1,12.9,18.5,7.6,4.800000000000001
243,ZCTA5 01337,2576.0,3.4,15.6,16.9,11.9,6.2
244,ZCTA5 01338,209.0,0.0,26.9,17.3,14.4,0.0
245,ZCTA5 01339,1514.0,2.5,13.899999999999999,18.700000000000003,13.0,8.3
246,ZCTA5 01340,1686.0,2.4,14.8,17.7,10.2,5.9
247,ZCTA5 01341,1583.0,2.7,18.5,27.200000000000003,9.399999999999999,2.8
248,ZCTA5 01342,1577.0,0.0,19.3,16.6,5.8,4.2
249,ZCTA5 01343,72.0,0.0,11.8,47.0,0.0,11.8
250,ZCTA5 01344,1557.0,1.2,16.1,15.0,5.9,3.3
251,ZCTA5 01346,466.0,1.3,24.2,18.700000000000003,15.7,1.7
252,ZCTA5 01347,128.0,0.0,23.3,26.7,0.0,0.0
253,ZCTA5 01349,888.0,8.2,14.0,30.1,10.3,1.6
254,ZCTA5 01350,118.0,0.0,20.799999999999997,18.9,5.7,0.0
255,ZCTA5 01351,2167.0,1.3,21.5,9.4,14.0,5.4
256,ZCTA5 01354,1573.0,1.2,20.5,21.7,9.8,3.6
257,ZCTA5 01355,981.0,1.2,13.8,19.7,15.8,1.7999999999999998
258,ZCTA5 01360,3031.0,2.0,17.5,15.0,11.0,1.6
259,ZCTA5 01364,7932.0,0.3,16.8,14.2,9.1,4.9
260,ZCTA5 01366,1355.0,4.3,25.700000000000003,12.1,11.5,2.6
261,ZCTA5 01367,569.0,1.4,20.6,13.100000000000001,12.200000000000001,4.4
262,ZCTA5 01368,1230.0,0.8,19.2,17.0,11.2,4.3
263,ZCTA5 01370,4143.0,1.7,16.3,17.4,12.299999999999999,4.5
264,ZCTA5 01373,4406.0,0.6,22.4,18.4,7.6,2.5
265,ZCTA5 01375,3683.0,1.7,9.8,15.1,2.8,2.8
266,ZCTA5 01376,5511.0,2.6,13.7,14.0,7.8,4.1
267,ZCTA5 01378,690.0,2.7,15.799999999999999,22.2,16.4,7.0
268,ZCTA5 01379,873.0,2.9,21.8,23.1,10.5,2.5
269,ZCTA5 01420,40419.0,1.1,12.8,11.1,6.4,3.0999999999999996
270,ZCTA5 01430,6133.0,0.0,20.1,15.4,7.699999999999999,1.9
271,ZCTA5 01431,3147.0,1.9,22.9,17.299999999999997,5.5,3.5999999999999996
272,ZCTA5 01432,7337.0,0.0,17.5,13.200000000000001,5.7,4.6
273,ZCTA5 01434,1656.0,0.0,19.4,12.8,7.4,1.6
274,ZCTA5 01436,3931.0,4.7,12.8,18.2,10.1,1.8
275,ZCTA5 01438,464.0,0.0,0.0,40.5,39.2,11.8
276,ZCTA5 01440,20293.0,1.9,15.399999999999999,12.8,6.1,4.0
277,ZCTA5 01450,10997.0,1.1,19.4,15.100000000000001,7.2,3.4
278,ZCTA5 01451,4841.0,0.8,22.9,17.1,10.0,3.3000000000000003
279,ZCTA5 01452,4452.0,1.4,24.0,12.2,7.800000000000001,2.3
280,ZCTA5 01453,40978.0,2.2,17.5,13.100000000000001,6.9,4.5
281,ZCTA5 01460,9157.0,0.6,18.9,14.700000000000001,6.9,3.4000000000000004
282,ZCTA5 01462,10797.0,2.0,21.5,12.899999999999999,8.899999999999999,4.1
283,ZCTA5 01463,11782.0,1.1,21.4,15.0,6.5,2.6
